title,genres_clean,overview,popularity,combined_features
Dick Johnson Is Dead,Documentaries,"As her father nears the end of his life, filmmaker Kirsten Johnson stages his death in inventive and comical ways to help them both face the inevitable.",80.0,"Dick Johnson Is Dead Documentaries As her father nears the end of his life, filmmaker Kirsten Johnson stages his death in inventive and comical ways to help them both face the inevitable. Netflix"
Blood & Water,International TV Shows TV Dramas,"After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.",81.5,"Blood & Water International TV Shows TV Dramas After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth. Netflix"
Ganglands,Crime TV Shows International TV,"To protect his family from a powerful drug lord, skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war.",81.5,"Ganglands Crime TV Shows International TV To protect his family from a powerful drug lord, skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war. Netflix"
Jailbirds New Orleans,Docuseries Reality TV,"Feuds, flirtations and toilet talk go down among the incarcerated women at the Orleans Justice Center in New Orleans on this gritty reality series.",81.5,"Jailbirds New Orleans Docuseries Reality TV Feuds, flirtations and toilet talk go down among the incarcerated women at the Orleans Justice Center in New Orleans on this gritty reality series. Netflix"
Kota Factory,International TV Shows Romantic TV,"In a city of coaching centers known to train India’s finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life.",81.5,"Kota Factory International TV Shows Romantic TV In a city of coaching centers known to train India’s finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life. Netflix"
Midnight Mass,TV Dramas TV Horror TV,"The arrival of a charismatic young priest brings glorious miracles, ominous mysteries and renewed religious fervor to a dying town desperate to believe.",81.5,"Midnight Mass TV Dramas TV Horror TV The arrival of a charismatic young priest brings glorious miracles, ominous mysteries and renewed religious fervor to a dying town desperate to believe. Netflix"
My Little Pony: A New Generation,Children Family Movies,"Equestria's divided. But a bright-eyed hero believes Earth Ponies, Pegasi and Unicorns should be pals — and, hoof to heart, she’s determined to prove it.",81.5,"My Little Pony: A New Generation Children Family Movies Equestria's divided. But a bright-eyed hero believes Earth Ponies, Pegasi and Unicorns should be pals — and, hoof to heart, she’s determined to prove it. Netflix"
Sankofa,Dramas Independent Movies International Movies,"On a photo shoot in Ghana, an American model slips back in time, becomes enslaved on a plantation and bears witness to the agony of her ancestral past.",39.5,"Sankofa Dramas Independent Movies International Movies On a photo shoot in Ghana, an American model slips back in time, becomes enslaved on a plantation and bears witness to the agony of her ancestral past. Netflix"
The Great British Baking Show,British TV Shows Reality TV,"A talented batch of amateur bakers face off in a 10-week competition, whipping up their best dishes in the hopes of being named the U.K.'s best.",81.5,"The Great British Baking Show British TV Shows Reality TV A talented batch of amateur bakers face off in a 10-week competition, whipping up their best dishes in the hopes of being named the U.K.'s best. Netflix"
The Starling,Comedies Dramas,A woman adjusting to life after a loss contends with a feisty bird that's taken over her garden — and a husband who's struggling to find a way forward.,81.5,The Starling Comedies Dramas A woman adjusting to life after a loss contends with a feisty bird that's taken over her garden — and a husband who's struggling to find a way forward. Netflix
"Vendetta: Truth, Lies and The Mafia",Crime TV Shows Docuseries International,Sicily boasts a bold 'Anti-Mafia' coalition. But what happens when those trying to bring down organized crime are accused of being criminals themselves?,81.5,"Vendetta: Truth, Lies and The Mafia Crime TV Shows Docuseries International Sicily boasts a bold 'Anti-Mafia' coalition. But what happens when those trying to bring down organized crime are accused of being criminals themselves? Netflix"
Bangkok Breaking,Crime TV Shows International TV,"Struggling to earn a living in Bangkok, a man joins an emergency rescue service and realizes he must unravel a citywide conspiracy.",81.5,"Bangkok Breaking Crime TV Shows International TV Struggling to earn a living in Bangkok, a man joins an emergency rescue service and realizes he must unravel a citywide conspiracy. Netflix"
Je Suis Karl,Dramas International Movies,"After most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them.",81.5,"Je Suis Karl Dramas International Movies After most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them. Netflix"
Confessions of an Invisible Girl,Children Family Movies Comedies,"When the clever but socially-awkward Tetê joins a new school, she'll do anything to fit in. But the queen bee among her classmates has other ideas.",81.5,"Confessions of an Invisible Girl Children Family Movies Comedies When the clever but socially-awkward Tetê joins a new school, she'll do anything to fit in. But the queen bee among her classmates has other ideas. Netflix"
Crime Stories: India Detectives,British TV Shows Crime TV,Cameras following Bengaluru police on the job offer a rare glimpse into the complex and challenging inner workings of four major crime investigations.,81.5,Crime Stories: India Detectives British TV Shows Crime TV Cameras following Bengaluru police on the job offer a rare glimpse into the complex and challenging inner workings of four major crime investigations. Netflix
Dear White People,TV Comedies TV Dramas,Students of color navigate the daily slights and slippery politics of life at an Ivy League college that's not nearly as 'post-racial' as it thinks.,81.5,Dear White People TV Comedies TV Dramas Students of color navigate the daily slights and slippery politics of life at an Ivy League college that's not nearly as 'post-racial' as it thinks. Netflix
Europe's Most Dangerous Man: Otto Skorzeny in Spain,Documentaries International Movies,"Declassified documents reveal the post-WWII life of Otto Skorzeny, a close Hitler ally who escaped to Spain and became an adviser to world presidents.",80.0,"Europe's Most Dangerous Man: Otto Skorzeny in Spain Documentaries International Movies Declassified documents reveal the post-WWII life of Otto Skorzeny, a close Hitler ally who escaped to Spain and became an adviser to world presidents. Netflix"
