title,artist,genre,mood,audio_features,release_year,description,combined_features
Happy,Pharrell Williams,Pop,happy,{},,Happy by Pharrell Williams - Pop,Happy Pharrell Williams Pop Happy by Pharrell Williams - Pop
Uptown Funk,Mark Ronson ft. Bruno Mars,Funk Pop,happy,{},,Uptown Funk by Mark Ronson ft. Bruno Mars - Funk Pop,Uptown Funk Mark Ronson ft. Bruno Mars Funk Pop Uptown Funk by Mark Ronson ft. Bruno Mars - Funk Pop
Can't Stop the Feeling,Justin Timberlake,Pop,happy,{},,Can't Stop the Feeling by Justin Timberlake - Pop,Can't Stop the Feeling Justin Timberlake Pop Can't Stop the Feeling by Justin Timberlake - Pop
Shake It Off,Taylor Swift,Pop,happy,{},,Shake It Off by Taylor Swift - Pop,Shake It Off Taylor Swift Pop Shake It Off by Taylor Swift - Pop
Walking on Sunshine,Katrina and the Waves,Rock,happy,{},,Walking on Sunshine by Katrina and the Waves - Rock,Walking on Sunshine Katrina and the Waves Rock Walking on Sunshine by Katrina and the Waves - Rock
Good Vibrations,The Beach Boys,Rock,happy,{},,Good Vibrations by The Beach Boys - Rock,Good Vibrations The Beach Boys Rock Good Vibrations by The Beach Boys - Rock
Mr. Blue Sky,Electric Light Orchestra,Rock,happy,{},,Mr. Blue Sky by Electric Light Orchestra - Rock,Mr. Blue Sky Electric Light Orchestra Rock Mr. Blue Sky by Electric Light Orchestra - Rock
Don't Stop Me Now,Queen,Rock,happy,{},,Don't Stop Me Now by Queen - Rock,Don't Stop Me Now Queen Rock Don't Stop Me Now by Queen - Rock
I Wanna Dance with Somebody,Whitney Houston,Pop,happy,{},,I Wanna Dance with Somebody by Whitney Houston - Pop,I Wanna Dance with Somebody Whitney Houston Pop I Wanna Dance with Somebody by Whitney Houston - Pop
Celebration,Kool & The Gang,Funk,happy,{},,Celebration by Kool & The Gang - Funk,Celebration Kool & The Gang Funk Celebration by Kool & The Gang - Funk
Someone Like You,Adele,Pop Soul,sad,{},,Someone Like You by Adele - Pop Soul,Someone Like You Adele Pop Soul Someone Like You by Adele - Pop Soul
Fix You,Coldplay,Alternative Rock,sad,{},,Fix You by Coldplay - Alternative Rock,Fix You Coldplay Alternative Rock Fix You by Coldplay - Alternative Rock
The Night We Met,Lord Huron,Indie Folk,sad,{},,The Night We Met by Lord Huron - Indie Folk,The Night We Met Lord Huron Indie Folk The Night We Met by Lord Huron - Indie Folk
Hurt,Johnny Cash,Country,sad,{},,Hurt by Johnny Cash - Country,Hurt Johnny Cash Country Hurt by Johnny Cash - Country
Mad World,Gary Jules,Alternative,sad,{},,Mad World by Gary Jules - Alternative,Mad World Gary Jules Alternative Mad World by Gary Jules - Alternative
Everybody Hurts,R.E.M.,Rock,sad,{},,Everybody Hurts by R.E.M. - Rock,Everybody Hurts R.E.M. Rock Everybody Hurts by R.E.M. - Rock
Tears in Heaven,Eric Clapton,Rock,sad,{},,Tears in Heaven by Eric Clapton - Rock,Tears in Heaven Eric Clapton Rock Tears in Heaven by Eric Clapton - Rock
Nothing Compares 2 U,Sinead O'Connor,Pop,sad,{},,Nothing Compares 2 U by Sinead O'Connor - Pop,Nothing Compares 2 U Sinead O'Connor Pop Nothing Compares 2 U by Sinead O'Connor - Pop
Black,Pearl Jam,Grunge,sad,{},,Black by Pearl Jam - Grunge,Black Pearl Jam Grunge Black by Pearl Jam - Grunge
Hallelujah,Jeff Buckley,Alternative,sad,{},,Hallelujah by Jeff Buckley - Alternative,Hallelujah Jeff Buckley Alternative Hallelujah by Jeff Buckley - Alternative
Eye of the Tiger,Survivor,Rock,energetic,{},,Eye of the Tiger by Survivor - Rock,Eye of the Tiger Survivor Rock Eye of the Tiger by Survivor - Rock
Stronger,Kanye West,Hip Hop,energetic,{},,Stronger by Kanye West - Hip Hop,Stronger Kanye West Hip Hop Stronger by Kanye West - Hip Hop
Lose Yourself,Eminem,Hip Hop,energetic,{},,Lose Yourself by Eminem - Hip Hop,Lose Yourself Eminem Hip Hop Lose Yourself by Eminem - Hip Hop
